frame,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p1_up,p1_down,p1_left,p1_right,p1_select,p1_start,p1_Y,p1_B,p1_X,p1_A,p1_L,p1_R,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p2_up,p2_down,p2_left,p2_right,p2_select,p2_start,p2_Y,p2_B,p2_X,p2_A,p2_L,p2_R,timer,round_started,round_over,fight_result
0,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,146,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
1,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,144,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
2,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
3,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
4,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
5,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
6,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
7,4,76,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
8,4,51,107,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,88,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
9,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
10,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
11,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,144,True,False,NOT_OVER
12,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
13,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
14,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
15,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
16,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
17,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
18,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
19,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
20,4,51,86,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
21,4,51,86,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
22,4,51,86,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
23,4,51,86,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
24,4,51,83,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
25,4,51,83,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
26,4,51,77,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
27,4,51,74,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
28,4,51,74,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,True,515,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
29,4,51,71,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
30,4,51,68,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
31,4,51,64,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
32,4,51,64,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
33,4,51,60,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
34,4,51,59,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
35,4,51,59,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
36,4,51,58,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
37,4,51,58,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
38,4,51,57,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
39,4,51,57,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
40,4,51,57,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
41,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
42,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
43,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
44,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
45,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,137,True,False,NOT_OVER
46,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
47,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
48,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
49,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,143,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
50,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,141,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
51,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,138,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
52,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,137,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
53,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,135,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
54,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,135,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
55,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,134,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
56,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,131,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
57,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,130,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
58,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,130,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
59,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,128,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
60,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,127,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
61,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,124,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
62,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
63,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
64,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
65,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
66,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
67,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
68,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
69,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
70,4,51,86,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,57,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
71,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
72,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
73,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
74,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
75,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
76,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
77,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
78,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
79,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,136,True,False,NOT_OVER
80,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
81,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
82,4,51,55,192,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
83,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
84,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
85,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,122,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
86,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,127,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
87,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,127,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
88,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,132,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
89,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,137,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
90,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,141,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
91,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,145,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
92,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,149,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
93,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,152,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
94,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,155,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
95,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,158,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
96,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,160,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
97,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,162,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
98,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,163,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
99,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,163,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
100,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,164,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
101,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,164,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
102,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,165,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
103,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,165,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
104,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,166,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
105,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,166,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
106,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
107,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
108,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
109,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
110,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
111,4,51,55,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
112,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
113,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,135,True,False,NOT_OVER
114,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
115,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
116,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
117,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
118,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,True,1029,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
119,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
120,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
121,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
122,4,51,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
123,4,51,57,192,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
124,4,51,57,192,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
125,4,51,57,192,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
126,4,51,57,192,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
127,4,51,57,192,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
128,4,51,57,186,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
129,4,51,61,180,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
130,4,51,63,175,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
131,4,51,65,170,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
132,4,51,67,165,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
133,4,51,69,161,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
134,4,51,69,157,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
135,4,51,71,153,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
136,4,51,75,149,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
137,4,51,77,146,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
138,4,51,79,143,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
139,4,51,81,140,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
140,4,51,82,137,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
141,4,51,84,135,True,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,6,176,167,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,134,True,False,NOT_OVER
